ano,semana,distrito,ubigeo,total_casos,temp_min_semana,population,temp_min_lag1,temp_min_lag2,temp_min_lag3,temp_min_lag4,temp_min_lag5,temp_min_lag6,temp_min_lag7
2017,2,YAQUERANA,160511.0,0,22.23870936939091,1929,22.133346509661564,,,,,,
2017,2,YAVARI,160403.0,0,22.19568927335854,8366,22.339399909300557,,,,,,
2017,2,YURIMAGUAS,160201.0,17,21.502630795908978,83554,21.76542293355593,,,,,,
2017,3,ALTO NANAY,160102.0,0,22.393342936870084,2855,22.137861916290017,22.09838829684601,,,,,
2017,3,ALTO TAPICHE,160502.0,0,22.01536789130128,1515,21.63057011007628,20.76927030783625,,,,,
2017,3,ANDOAS,160706.0,0,21.574767184432115,11714,21.978283561663755,21.73222719098302,,,,,
2017,3,BALSAPUERTO,160202.0,0,19.56190087667686,13707,19.404611487176265,20.01802467118852,,,,,
2017,3,BARRANCA,160701.0,0,19.512874126639595,12742,20.23033878289348,20.25169471756149,,,,,
2017,3,BELEN,160112.0,6,22.56753649866337,64488,22.499559662405392,22.61204463092277,,,,,
2017,3,CAHUAPANAS,160702.0,0,20.03305170991772,6336,20.88783148567923,20.64960700175174,,,,,
2017,3,CAPELO,160503.0,0,22.90458039521458,2566,22.77231612105272,22.432811638542866,,,,,
2017,3,CONTAMANA,160601.0,0,20.849689656175887,23883,20.871765356993805,20.47456698776553,,,,,
2017,3,EMILIO SAN MARTIN,160504.0,0,22.56435623642823,6089,22.184278623213707,22.01062619069104,,,,,
2017,3,FERNANDO LORES,160103.0,0,22.123974545025888,13875,22.263342273895173,22.260247254158003,,,,,
2017,3,INAHUAYA,160602.0,0,22.0753898230102,1738,22.1669772947354,21.650907271977538,,,,,
2017,3,INDIANA,160104.0,0,22.66571188657441,10134,22.24207864391688,22.6668274830686,,,,,
2017,3,IQUITOS,160101.0,1,22.324903292649683,146853,22.283758701731585,22.316423265861765,,,,,
2017,3,JEBEROS,160205.0,0,21.942577579247704,3900,22.19867455563276,22.09679395662582,,,,,
2017,3,JENARO HERRERA,160510.0,0,22.74518856873599,4608,22.670167487664283,22.66917900443327,,,,,
2017,3,LAGUNAS,160206.0,0,21.77118154724636,12033,22.3019377313253,22.36788500198731,,,,,
2017,3,LAS AMAZONAS,160105.0,0,22.73932029687985,8032,22.44504486495734,22.59967756582092,,,,,
2017,3,MANSERICHE,160703.0,0,20.57872549362237,8421,20.613608886389077,20.931021608588367,,,,,
2017,3,MAQUIA,160505.0,0,22.41350382457017,7304,22.071231510572492,21.95762463187144,,,,,
2017,3,MAZAN,160106.0,0,22.650517972176115,12181,22.339852762469448,22.40755947784581,,,,,
