"ano","semana","distrito","total_casos","temp_min_semana","population"
2017,23,"PUNCHANA",1,22.367253720289,75210
2017,23,"SAN JUAN BAUTISTA",2,22.7278720304363,127005
2017,23,"YURIMAGUAS",3,21.4190615782312,83554
2017,24,"BARRANCA",2,19.7858470769713,12742
2017,24,"BELEN",5,22.3596726206552,64488
2017,24,"IQUITOS",1,22.059148241126,146853
2017,24,"PUNCHANA",2,21.8290552739755,75210
2017,24,"SAN JUAN BAUTISTA",2,22.0631518993473,127005
2017,25,"BARRANCA",2,18.4644348863037,12742
2017,25,"BELEN",3,21.2672499665117,64488
2017,25,"SAN JUAN BAUTISTA",1,20.5703507683729,127005
2017,26,"BELEN",1,22.5424669721485,64488
2017,26,"IQUITOS",2,22.2705205864586,146853
2017,26,"SAN JUAN BAUTISTA",1,22.1838150045068,127005
2017,26,"YURIMAGUAS",4,20.8463552255292,83554
2017,27,"BARRANCA",2,18.7869713958599,12742
2017,27,"BELEN",1,22.1560561998756,64488
2017,27,"IQUITOS",4,21.7303680379714,146853
2017,27,"YURIMAGUAS",2,19.9864717415768,83554
2017,28,"IQUITOS",1,20.7160946972914,146853
2017,28,"PUNCHANA",1,20.0937933804656,75210
2017,28,"REQUENA",1,20.4140551546291,25313
2017,28,"SAN JUAN BAUTISTA",3,20.8954927336311,127005
2017,28,"YURIMAGUAS",8,20.1024537611059,83554
2017,29,"BELEN",2,18.4059092833933,64488
2017,29,"IQUITOS",3,17.7459043801852,146853
2017,29,"SAN JUAN BAUTISTA",2,17.6476135217188,127005
2017,29,"YURIMAGUAS",11,18.0210877581741,83554
2017,30,"BELEN",1,21.6844776524907,64488
2017,30,"IQUITOS",2,21.2904897375698,146853
2017,30,"SAN JUAN BAUTISTA",1,21.1127855043588,127005
2017,30,"YURIMAGUAS",5,19.0794408792059,83554
2017,31,"IQUITOS",2,22.0257272310722,146853
2017,31,"PUNCHANA",1,21.9416859920098,75210
2017,31,"SAN JUAN BAUTISTA",3,22.0158878794002,127005
2017,31,"TROMPETEROS",1,21.2066860841493,8396
2017,31,"YURIMAGUAS",6,21.1012154734173,83554
2017,32,"SAN JUAN BAUTISTA",1,22.5844850473322,127005
2017,32,"YURIMAGUAS",2,21.4971261278036,83554
2017,33,"BELEN",1,23.6820121652609,64488
